1	32767	0	 2202.05 2479.24 1791.39 792.87 796.152 612.343 1177.8
1	32767	0	 2285.71 2562.91 1875.05 876.531 879.813 696.004 1142.83
1	32767	0	 2391.73 2397.4 1709.55 711.03 923.547 589.165 717.497
1	32767	0	 2391.73 2397.4 1709.55 711.03 923.547 589.165 717.497
1	32767	0	 0 0 2506.52 2155.01 2326.06 2469.31 1809.89
1	32767	0	 0 0 2506.52 2155.01 2326.06 2469.31 1809.89
1	32767	0	 0 0 2506.52 2155.01 2326.06 2469.31 1809.89
32767	32767	0	 0 2.75859e-313 1.28823e-231 1.28823e-231 2.75859e-313 0 0
32767	32767	0	 0 2.75859e-313 0 0 2.75859e-313 0 0
1	32767	0	 2.19836e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 2.31584e+77 2.31584e+77 2.75859e-313 0 0
1	32767	0	 2.17352e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 -1.28823e-231 -1.28823e-231 2.75859e-313 0 0
1	32767	0	 2.24816e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 -1.28823e-231 -1.28823e-231 2.75859e-313 0 0
1	32767	0	 2.18456e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 2.31584e+77 2.31584e+77 2.75859e-313 0 0
1	32767	0	 2.16889e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 -1.72723e-77 -1.72723e-77 2.75859e-313 0 0
1	32767	0	 2.13405e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 -1.28823e-231 -1.28823e-231 2.75859e-313 0 0
1	32767	0	 2.17635e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
32767	32767	0	 0 2.75859e-313 -0 -0 2.75859e-313 0 0
1	32767	0	 2.22499e-314 0 2487.76 2136.24 2307.29 2450.54 1791.12
1	32767	0	 0 0 2506.52 2155.01 2326.06 2469.31 1809.89
