#K linf phi
0.287178 72.8937 79.3148
0.28691 72.9382 77.8536
0.281452 73.5196 77.4857
0.285917 72.8938 79.2049
0.264593 74.5761 75.9054
0.272248 74.4028 81.6261
0.259141 75.4328 77.8072
0.262628 74.8722 81.9808
0.26926 74.4424 74.459
0.288187 73.0407 77.9965
0.284116 73.1012 80.4202
0.284343 73.351 77.5793
0.28251 73.1786 76.9953
0.297235 72.4713 76.671
0.278786 73.3285 77.6969
0.278405 73.5916 75.2204
0.294363 72.3236 79.7459
0.274841 73.9054 77.5441
0.281336 73.4768 81.4067
0.282638 73.2781 82.5922
0.282598 73.1592 79.6931
0.276117 73.7284 83.2525
0.267795 74.3992 80.9345
0.261195 75.1092 77.4387
0.294195 72.7112 79.3524
0.300349 71.9939 78.6916
0.274976 73.8922 78.3878
0.272051 74.2328 79.6822
0.266055 74.6833 77.843
0.272433 74.0279 79.3147
0.26041 75.2196 77.3138
0.264161 74.9833 76.6096
0.266332 74.8365 78.7562
0.29491 72.5657 76.8006
0.276801 73.7016 78.0556
0.304026 71.6973 75.3827
0.289885 72.5907 77.309
0.279552 73.3998 79.0842
0.30442 71.846 77.789
0.276241 73.876 81.0184
0.273493 74.2905 81.6575
0.259548 75.5432 78.061
0.272058 74.1797 82.4414
0.256738 75.4403 75.9198
0.284844 73.2045 79.8587
0.278024 73.7458 77.9724
0.28474 73.2106 79.9982
0.269187 74.3007 77.2616
0.288189 72.8391 75.9159
0.266625 74.6701 79.2653
0.282737 72.9704 77.6403
0.281859 73.2966 77.7168
0.298025 72.2248 78.6306
0.270202 74.589 78.7992
0.274381 73.8043 79.7972
0.273625 73.9003 78.9847
0.289674 72.7734 80.2402
0.259503 75.2134 80.3736
0.2725 74.0833 77.138
0.285756 73.0119 80.5323
0.273439 73.5973 77.4105
0.269953 74.3726 80.0461
0.288076 72.8193 78.4317
0.299563 72.2161 82.3847
0.302482 71.7728 77.5212
0.278409 73.5602 77.785
0.287059 72.8535 79.0638
0.271524 74.0433 77.9994
0.289842 72.7259 78.6916
0.26445 74.6037 79.3567
0.291811 72.6939 79.4488
0.27749 73.4338 77.2798
0.305346 71.531 81.9504
0.281459 73.5777 79.034
0.297786 72.0998 80.396
0.294097 72.5611 82.9942
0.279028 73.8364 77.8161
0.285155 73.5435 79.1218
0.277519 73.5575 77.7324
0.281359 73.4947 76.9319
0.278098 73.783 80.7851
0.291125 72.8151 79.208
0.287647 72.9851 80.4245
0.298703 72.1524 77.8232
0.300622 72.109 79.2283
0.294094 72.1193 76.7819
0.261158 74.9733 82.5143
0.276579 73.9819 78.9422
0.293675 72.9202 80.0989
0.291427 72.7409 83.0105
0.266432 74.5625 74.8515
0.273669 74.2734 77.6759
0.276455 73.837 80.3894
0.262582 74.9198 79.3504
0.289214 72.8415 77.3687
0.298629 72.1403 76.631
0.289423 72.8199 76.1065
0.304501 71.7715 78.9486
0.267772 74.6076 84.204
0.296331 72.307 78.0825
0.295767 72.2938 82.0918
0.283968 73.2512 80.4265
0.291404 72.7526 76.651
0.27944 73.6611 79.8628
0.261895 75.0692 78.089
0.269613 74.0141 78.034
0.272575 74.4671 80.5501
0.275487 73.8741 74.1238
0.270932 74.1757 78.6431
0.258477 75.1294 81.8051
0.259273 75.0082 77.9321
0.296062 72.4656 76.9624
0.310956 71.3132 78.6521
0.296238 72.4564 81.5953
0.277085 73.8567 79.4371
0.298268 72.0323 82.6897
0.281664 73.2915 78.3213
0.27829 73.7325 80.5062
0.279947 73.5718 80.483
0.268879 74.3481 81.678
0.257693 75.2838 76.4357
0.276852 73.7701 77.4868
0.286925 72.9755 77.2474
0.280334 73.4145 79.8461
0.269766 74.5925 80.2169
0.274387 74.2571 79.3503
0.27773 73.8121 82.7606
0.272878 74.1757 77.1855
0.301233 71.8332 78.8985
0.293883 72.3355 78.7395
0.276762 73.7294 77.1054
0.275018 74.0354 78.0441
0.278453 73.4274 78.4227
0.281447 73.0779 74.5626
0.271737 74.3244 79.0545
0.263197 74.5435 81.863
0.280928 73.7413 80.7763
0.259126 75.7294 77.1169
0.273748 73.9019 79.5516
0.259374 75.1131 79.8226
0.2758 74.0372 81.1978
0.276395 73.7536 82.0679
0.261125 74.9571 82.4526
0.250862 76.2595 75.0829
0.279992 73.8595 82.9679
0.278179 73.5346 78.3649
0.272402 74.2174 79.6924
0.272013 74.1982 80.1925
0.28031 73.375 77.3245
0.268211 74.6738 77.2062
0.262779 74.4633 72.4217
0.282871 73.1581 78.7054
0.289014 73.1269 80.6115
0.287779 73.1449 78.4412
0.253575 75.8956 81.5884
0.271031 74.3338 76.3027
0.277626 73.4532 78.898
0.289534 73.1938 80.4159
0.29465 72.2899 76.6365
0.292107 72.7091 82.0757
0.280073 73.6242 79.204
0.272358 74.0491 77.79
0.291224 72.5235 78.5795
0.282249 73.3076 78.4474
0.27282 73.9785 77.234
0.275851 73.818 76.8059
0.267131 74.4658 79.2009
0.252717 76.2318 82.0433
0.272941 74.1747 77.3041
0.27169 74.0392 80.1874
0.278383 73.7699 79.5719
0.260646 75.414 82.0475
0.264014 74.895 78.2161
0.28945 72.9814 78.6749
0.299874 71.9566 76.5021
0.284128 73.0094 79.0462
0.269125 74.3307 78.1607
0.303983 71.6831 80.4282
0.268847 74.569 79.9927
0.263671 74.8995 77.7782
0.260548 75.1714 80.686
0.278507 73.4434 75.7266
