#K linf phi
0.279162 73.6523 80.0107
0.283033 73.5102 76.078
0.265361 74.685 77.4789
0.281415 73.3396 77.2769
0.277525 73.8559 75.5922
0.269304 74.7096 79.4124
0.277718 73.4811 75.9108
0.272214 73.991 78.7122
0.300542 72.0221 80.8202
0.283985 73.3619 78.4344
0.285758 73.082 76.622
0.292102 72.4549 73.8837
0.281524 73.5727 78.9131
0.271625 74.0921 77.5648
0.27275 73.9824 77.1625
0.263137 74.6025 81.2771
0.267308 74.4881 81.7111
0.260657 75.3336 78.6902
0.285503 73.1778 75.6279
0.289332 72.8557 77.3189
0.261949 75.3039 77.252
0.269482 74.2989 78.9455
0.269602 74.7029 80.3184
0.300532 72.0802 81.3673
0.285666 72.9549 76.165
0.277373 74.1801 77.4144
0.281082 73.5559 76.8554
0.272696 74.4186 76.2362
0.274286 74.0662 81.9244
0.262643 74.6413 77.7404
0.276288 73.8158 76.5911
0.269336 74.7369 81.0411
0.28606 72.8365 79.2301
0.289281 72.9213 78.4244
0.264621 74.5803 79.5787
0.277164 73.665 74.8352
0.310752 71.2632 80.374
0.276553 73.6921 80.4899
0.270678 74.3197 80.0834
0.268439 74.8983 77.8631
0.266914 74.8228 77.6469
0.294977 72.219 82.3617
0.294077 72.24 82.1971
0.284114 72.9267 81.0603
0.29269 72.5609 80.2373
0.283986 73.2499 79.7044
0.293239 72.9675 78.7638
0.286854 73.0854 81.1744
0.285172 73.1279 79.7379
0.292042 72.6157 78.6884
0.259855 75.0906 77.6784
0.2777 73.8932 81.0727
0.276271 73.8054 77.3951
0.317 70.7755 80.1039
0.300531 72.0806 78.6901
0.296273 72.4218 76.8534
